county,state_abb,state_name,land_area_m2,land_area_mi2,population,density
Apache,AZ,Arizona,29003486215,11198.308634320334,66021,5.8956224690628964
Maricopa,AZ,Arizona,23832530727,9201.791558417619,4420568,480.40297065370396
Graham,AZ,Arizona,11970605956,4621.876799272256,38533,8.33708938456933
Gila,AZ,Arizona,12321426494,4757.329366272651,53272,11.197879292881167
Pinal,AZ,Arizona,13897997152,5366.046700500104,425264,79.2508943241896
La Paz,AZ,Arizona,11646049270,4496.564762222017,16557,3.6821442313260966
Yavapai,AZ,Arizona,21038142263,8122.87214052114,236209,29.07949256294037
Yuma,AZ,Arizona,14280774789,5513.837972406754,203881,36.97624069120176
Mohave,AZ,Arizona,34530024782,13332.11710458393,213267,15.996484153793793
Coconino,AZ,Arizona,48216135399,18616.35395654384,145101,7.794275954287789
Navajo,AZ,Arizona,25769061034,9949.490090130183,106717,10.725876304541721
Cochise,AZ,Arizona,16083178104,6209.749782982595,125447,20.201619128644946
Greenlee,AZ,Arizona,4771128170,1842.1428853586515,9563,5.19123683401907
Santa Cruz,AZ,Arizona,3201853240,1236.242447460502,47669,38.55958845121521
Pima,AZ,Arizona,23798597680,9188.689935723296,1043433,113.55623133428381
